subscription_id,customer_id,plan_id,status,billing_cycle,start_date,end_date,mrr_usd,discount_pct,trial_end_date,cancellation_reason,created_at_x,company_name,industry,company_size,country_code,country_name,timezone,contact_email,contact_name,signup_date,signup_source,is_active_x,churned_at,churn_reason,nps_score,created_at_y,updated_at,plan_name,plan_tier,monthly_price_usd,annual_price_usd,max_users,max_projects,storage_gb,is_active_y,created_at,revenue,is_churned
39,27,3,expired,monthly,2024-04-14,2024-09-22,19.0,0.0,,Not using it,2026-04-24 22:09:13.186774,WaveStack,Logistics,enterprise,JP,Japan,Asia/Tokyo,lisa.johnson@yahoo.com,Lisa Johnson,2023-09-29,organic,False,2025-02-03 08:53:39,Budget cuts,6.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Starter Plus,starter,19.0,190.0,25.0,20.0,10,True,2026-04-24 22:09:13.186774,19.0,True
40,27,4,cancelled,annual,2024-09-22,2025-02-03,32.5,0.0,,Switched competitor,2026-04-24 22:09:13.186774,WaveStack,Logistics,enterprise,JP,Japan,Asia/Tokyo,lisa.johnson@yahoo.com,Lisa Johnson,2023-09-29,organic,False,2025-02-03 08:53:39,Budget cuts,6.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Professional,professional,39.0,390.0,50.0,50.0,25,True,2026-04-24 22:09:13.186774,39.0,True
41,28,3,cancelled,monthly,2023-03-13,2024-01-12,14.25,25.0,2023-03-27,,2026-04-24 22:09:13.186774,Keen Software,Education,small,FR,France,Europe/Paris,margaret.smith@hotmail.com,Margaret Smith,2023-03-13,organic,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Starter Plus,starter,19.0,190.0,25.0,20.0,10,True,2026-04-24 22:09:13.186774,19.0,False
42,28,3,active,monthly,2024-01-12,,19.0,0.0,,,2026-04-24 22:09:13.186774,Keen Software,Education,small,FR,France,Europe/Paris,margaret.smith@hotmail.com,Margaret Smith,2023-03-13,organic,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Starter Plus,starter,19.0,190.0,25.0,20.0,10,True,2026-04-24 22:09:13.186774,19.0,False
43,29,2,expired,annual,2024-03-06,2024-12-20,10.0,0.0,2024-03-20,Missing features,2026-04-24 22:09:13.186774,QuestSystems,Education,medium,DE,Germany,Europe/Berlin,wei.clark@questsystems.com,Wei Clark,2024-03-06,paid_ads,True,,,9.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Starter,starter,12.0,120.0,15.0,10.0,5,True,2026-04-24 22:09:13.186774,12.0,False
44,29,3,expired,monthly,2024-12-20,2025-06-05,19.0,0.0,,Company reorganization,2026-04-24 22:09:13.186774,QuestSystems,Education,medium,DE,Germany,Europe/Berlin,wei.clark@questsystems.com,Wei Clark,2024-03-06,paid_ads,True,,,9.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Starter Plus,starter,19.0,190.0,25.0,20.0,10,True,2026-04-24 22:09:13.186774,19.0,False
45,29,5,active,annual,2025-06-05,,49.17,0.0,,,2026-04-24 22:09:13.186774,QuestSystems,Education,medium,DE,Germany,Europe/Berlin,wei.clark@questsystems.com,Wei Clark,2024-03-06,paid_ads,True,,,9.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Professional Plus,professional,59.0,590.0,100.0,100.0,50,True,2026-04-24 22:09:13.186774,59.0,False
46,30,2,active,monthly,2024-04-21,,12.0,0.0,2024-05-05,,2026-04-24 22:09:13.186774,NexusVentures,Media,enterprise,US,United States,America/New_York,karen.jackson@corp.net,Karen Jackson,2024-04-21,referral,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Starter,starter,12.0,120.0,15.0,10.0,5,True,2026-04-24 22:09:13.186774,12.0,False
47,31,4,active,monthly,2023-08-19,,39.0,0.0,2023-09-02,,2026-04-24 22:09:13.186774,VineSolutions,Education,medium,SG,Singapore,Asia/Singapore,aisha.flores@hotmail.com,Aisha Flores,2023-08-19,referral,True,,,2.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Professional,professional,39.0,390.0,50.0,50.0,25,True,2026-04-24 22:09:13.186774,39.0,False
48,32,3,active,annual,2025-05-31,,15.83,0.0,2025-06-14,,2026-04-24 22:09:13.186774,Arc Stack,Real Estate,small,FR,France,Europe/Paris,carlos.harris@gmail.com,Carlos Harris,2025-05-31,paid_ads,True,,,7.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Starter Plus,starter,19.0,190.0,25.0,20.0,10,True,2026-04-24 22:09:13.186774,19.0,False
49,33,5,active,monthly,2025-08-30,,59.0,0.0,2025-09-13,,2026-04-24 22:09:13.186774,SageDev,Media,small,US,United States,America/Chicago,sandra.rodriguez@tech.dev,Sandra Rodriguez,2025-08-30,organic,True,,,9.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Professional Plus,professional,59.0,590.0,100.0,100.0,50,True,2026-04-24 22:09:13.186774,59.0,False
50,34,3,cancelled,monthly,2024-06-17,2025-02-04,19.0,0.0,2024-07-01,Missing features,2026-04-24 22:09:13.186774,JadeHQ,Legal,enterprise,CA,Canada,America/Toronto,mark.taylor@protonmail.com,Mark Taylor,2024-06-17,event,True,,,7.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Starter Plus,starter,19.0,190.0,25.0,20.0,10,True,2026-04-24 22:09:13.186774,19.0,False
51,34,4,active,monthly,2025-02-04,,33.15,15.0,,,2026-04-24 22:09:13.186774,JadeHQ,Legal,enterprise,CA,Canada,America/Toronto,mark.taylor@protonmail.com,Mark Taylor,2024-06-17,event,True,,,7.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Professional,professional,39.0,390.0,50.0,50.0,25,True,2026-04-24 22:09:13.186774,39.0,False
52,35,2,active,annual,2024-02-22,,10.0,0.0,2024-03-07,,2026-04-24 22:09:13.186774,PulseAnalytics,Telecommunications,medium,US,United States,America/Chicago,david.martinez@pulseanalytics.com,David Martinez,2024-02-22,organic,True,,,2.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Starter,starter,12.0,120.0,15.0,10.0,5,True,2026-04-24 22:09:13.186774,12.0,False
53,36,5,active,monthly,2025-09-03,,59.0,0.0,2025-09-17,,2026-04-24 22:09:13.186774,YieldHub,Legal,small,BR,Brazil,America/Sao_Paulo,Matthew.Walker@startup.co,Matthew Walker,2025-09-03,partner,True,,,9.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Professional Plus,professional,59.0,590.0,100.0,100.0,50,True,2026-04-24 22:09:13.186774,59.0,False
54,37,3,cancelled,annual,2025-10-01,2025-12-01,15.83,0.0,2025-10-15,Switched competitor,2026-04-24 22:09:13.186774,Flux Labs,Manufacturing,small,SG,Singapore,Asia/Singapore,fatima.tanaka@enterprise.com,Fatima Tanaka,2025-10-01,organic,True,,,7.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Starter Plus,starter,19.0,190.0,25.0,20.0,10,True,2026-04-24 22:09:13.186774,19.0,False
55,37,4,active,monthly,2025-12-01,,39.0,0.0,,,2026-04-24 22:09:13.186774,Flux Labs,Manufacturing,small,SG,Singapore,Asia/Singapore,fatima.tanaka@enterprise.com,Fatima Tanaka,2025-10-01,organic,True,,,7.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Professional,professional,39.0,390.0,50.0,50.0,25,True,2026-04-24 22:09:13.186774,39.0,False
56,38,2,expired,monthly,2025-06-19,2025-09-16,12.0,0.0,2025-07-03,Company reorganization,2026-04-24 22:09:13.186774,FlowStack,Retail,medium,US,United States,America/Los_Angeles,patricia.taylor@company.io,Patricia Taylor,2025-06-19,organic,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Starter,starter,12.0,120.0,15.0,10.0,5,True,2026-04-24 22:09:13.186774,12.0,False
57,38,6,active,annual,2025-09-16,,82.5,0.0,,,2026-04-24 22:09:13.186774,FlowStack,Retail,medium,US,United States,America/Los_Angeles,patricia.taylor@company.io,Patricia Taylor,2025-06-19,organic,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Enterprise,enterprise,99.0,990.0,500.0,,100,True,2026-04-24 22:09:13.186774,99.0,False
58,39,1,active,monthly,2025-08-30,,0.0,0.0,,,2026-04-24 22:09:13.186774,QuarkTech,Legal,medium,US,United States,America/New_York,daniel.anderson@gmail.com,Daniel Anderson,2025-08-30,paid_ads,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Free,free,0.0,0.0,5.0,3.0,1,True,2026-04-24 22:09:13.186774,0.0,False
59,40,2,active,annual,2025-02-04,,10.0,0.0,2025-02-18,,2026-04-24 22:09:13.186774,PulseDigital,Healthcare,medium,GB,United Kingdom,Europe/London,sandra.hall@corp.net,Sandra Hall,2025-02-04,paid_ads,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Starter,starter,12.0,120.0,15.0,10.0,5,True,2026-04-24 22:09:13.186774,12.0,False
60,41,2,active,monthly,2025-04-30,,12.0,0.0,2025-05-14,,2026-04-24 22:09:13.186774,TidalSystems,Telecommunications,small,BR,Brazil,America/Sao_Paulo,fatima.harris@outlook.com,Fatima Harris,2025-04-30,referral,True,,,9.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Starter,starter,12.0,120.0,15.0,10.0,5,True,2026-04-24 22:09:13.186774,12.0,False
61,42,5,active,annual,2025-09-10,,49.17,0.0,2025-09-24,,2026-04-24 22:09:13.186774,KeenAI,Manufacturing,large,IN,India,Asia/Kolkata,robert.allen+nimbus@keenai.com,Robert Allen,2025-09-10,referral,True,,,,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Professional Plus,professional,59.0,590.0,100.0,100.0,50,True,2026-04-24 22:09:13.186774,59.0,False
62,43,5,cancelled,annual,2025-04-25,2025-07-29,49.17,0.0,2025-05-09,Company reorganization,2026-04-24 22:09:13.186774,TrekDigital,Legal,medium,SG,Singapore,Asia/Singapore,sarah.flores@enterprise.com,Sarah Flores,2025-04-25,referral,True,,,9.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Professional Plus,professional,59.0,590.0,100.0,100.0,50,True,2026-04-24 22:09:13.186774,59.0,False
63,43,4,expired,monthly,2025-07-29,2025-10-28,33.15,15.0,,Missing features,2026-04-24 22:09:13.186774,TrekDigital,Legal,medium,SG,Singapore,Asia/Singapore,sarah.flores@enterprise.com,Sarah Flores,2025-04-25,referral,True,,,9.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Professional,professional,39.0,390.0,50.0,50.0,25,True,2026-04-24 22:09:13.186774,39.0,False
64,43,1,active,monthly,2025-10-28,,0.0,0.0,,,2026-04-24 22:09:13.186774,TrekDigital,Legal,medium,SG,Singapore,Asia/Singapore,sarah.flores@enterprise.com,Sarah Flores,2025-04-25,referral,True,,,9.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Free,free,0.0,0.0,5.0,3.0,1,True,2026-04-24 22:09:13.186774,0.0,False
65,44,6,expired,annual,2025-03-27,2025-10-06,82.5,0.0,2025-04-10,Too expensive,2026-04-24 22:09:13.186774,Drift Ventures,Real Estate,large,AU,Australia,Australia/Sydney,lisa.johnson@enterprise.com,Lisa Johnson,2025-03-27,event,True,,,8.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Enterprise,enterprise,99.0,990.0,500.0,,100,True,2026-04-24 22:09:13.186774,99.0,False
66,44,1,active,monthly,2025-10-06,,0.0,25.0,,,2026-04-24 22:09:13.186774,Drift Ventures,Real Estate,large,AU,Australia,Australia/Sydney,lisa.johnson@enterprise.com,Lisa Johnson,2025-03-27,event,True,,,8.0,2026-04-24 22:09:13.186774,2026-04-24 22:09:13.186774,Free,free,0.0,0.0,5.0,3.0,1,True,2026-04-24 22:09:13.186774,0.0,False
